name,price,have_stock
'Blueberries' Buckshot | NSWC SEAL,1.97,29
'Medium Rare' Crasswater | Guerrilla Warfare,5.89,43
'The Doctor' Romanov | Sabre,2.96,24
'Two Times' McCoy | TACP Cavalry,1.31,38
'Two Times' McCoy | USAF TACP,1.29,31
1st Lieutenant Farlow | SWAT,2.13,43
2020 RMR Challengers,0.18,104
2020 RMR Contenders,0.18,119
2020 RMR Legends,0.21,143
2021 Community Sticker Capsule,0.98,0
3rd Commando Company | KSK,2.47,56
AK-47 | Aquamarine Revenge (Battle-Scarred),15.02,0
AK-47 | Aquamarine Revenge (Factory New),80.38,1
AK-47 | Aquamarine Revenge (Field-Tested),28.46,7
AK-47 | Aquamarine Revenge (Minimal Wear),48.24,1
AK-47 | Aquamarine Revenge (Well-Worn),21.02,8
AK-47 | Asiimov (Battle-Scarred),24.47,12
AK-47 | Asiimov (Factory New),167.84,0
AK-47 | Asiimov (Field-Tested),29.87,24
AK-47 | Asiimov (Minimal Wear),50.9,23
AK-47 | Asiimov (Well-Worn),27.69,0
AK-47 | Baroque Purple (Battle-Scarred),3.56,19
AK-47 | Baroque Purple (Factory New),11.38,0
AK-47 | Baroque Purple (Field-Tested),3.74,27
AK-47 | Baroque Purple (Minimal Wear),3.82,0
AK-47 | Baroque Purple (Well-Worn),3.35,124
AK-47 | Black Laminate (Battle-Scarred),23.19,0
AK-47 | Black Laminate (Field-Tested),24.01,16
AK-47 | Black Laminate (Minimal Wear),23.61,0
AK-47 | Black Laminate (Well-Worn),23.83,1
AK-47 | Bloodsport (Factory New),87.02,3
AK-47 | Bloodsport (Field-Tested),64.27,7
AK-47 | Bloodsport (Minimal Wear),73.36,14
AK-47 | Bloodsport (Well-Worn),61.42,3
AK-47 | Blue Laminate (Factory New),9.98,1
AK-47 | Blue Laminate (Field-Tested),8.65,9
AK-47 | Blue Laminate (Minimal Wear),7.95,1
AK-47 | Blue Laminate (Well-Worn),9.22,1
AK-47 | Cartel (Battle-Scarred),5.58,100
AK-47 | Cartel (Factory New),11.95,0
AK-47 | Cartel (Field-Tested),6.53,6
AK-47 | Cartel (Minimal Wear),7.42,1
AK-47 | Cartel (Well-Worn),6.84,0
AK-47 | Case Hardened (Battle-Scarred),115.52,1
AK-47 | Case Hardened (Field-Tested),163.17,10
AK-47 | Case Hardened (Well-Worn),137.08,5
AK-47 | Elite Build (Battle-Scarred),0.97,50
AK-47 | Elite Build (Factory New),4.45,0
AK-47 | Elite Build (Field-Tested),1.27,88
AK-47 | Elite Build (Minimal Wear),2.05,25
AK-47 | Elite Build (Well-Worn),1.05,59
AK-47 | Emerald Pinstripe (Battle-Scarred),5.09,0
AK-47 | Emerald Pinstripe (Factory New),17.34,3
AK-47 | Emerald Pinstripe (Field-Tested),6.32,0
AK-47 | Emerald Pinstripe (Minimal Wear),8.92,0
AK-47 | Emerald Pinstripe (Well-Worn),5.25,0
AK-47 | Fire Serpent (Battle-Scarred),502.64,0
AK-47 | Fire Serpent (Factory New),2328.54,0
AK-47 | Fire Serpent (Field-Tested),767.79,0
AK-47 | Fire Serpent (Minimal Wear),1185.04,1
AK-47 | First Class (Battle-Scarred),38.4,1
AK-47 | First Class (Factory New),69.28,0
AK-47 | First Class (Field-Tested),42.32,0
AK-47 | First Class (Minimal Wear),49.9,0
AK-47 | First Class (Well-Worn),37.89,0
AK-47 | Frontside Misty (Battle-Scarred),12.73,3
AK-47 | Frontside Misty (Factory New),51.96,0
AK-47 | Frontside Misty (Field-Tested),14.39,25
AK-47 | Frontside Misty (Minimal Wear),27.41,5
AK-47 | Frontside Misty (Well-Worn),12.72,1
AK-47 | Fuel Injector (Battle-Scarred),68.52,14
AK-47 | Fuel Injector (Factory New),270.69,0
AK-47 | Fuel Injector (Field-Tested),121.17,15
AK-47 | Fuel Injector (Minimal Wear),163.17,0
AK-47 | Fuel Injector (Well-Worn),84.56,2
AK-47 | Gold Arabesque (Battle-Scarred),1090.86,0
AK-47 | Gold Arabesque (Factory New),1982.28,0
AK-47 | Gold Arabesque (Field-Tested),1364.01,0
AK-47 | Gold Arabesque (Minimal Wear),1750.07,0
AK-47 | Gold Arabesque (Well-Worn),1250.74,0
AK-47 | Green Laminate (Factory New),11.0,14
AK-47 | Green Laminate (Field-Tested),7.44,1
AK-47 | Green Laminate (Minimal Wear),7.48,0
AK-47 | Green Laminate (Well-Worn),15.69,1
AK-47 | Hydroponic (Factory New),1489.23,0
AK-47 | Hydroponic (Field-Tested),729.49,0
AK-47 | Hydroponic (Minimal Wear),1307.86,0
AK-47 | Jaguar (Battle-Scarred),18.44,1
AK-47 | Jaguar (Factory New),106.72,0
AK-47 | Jaguar (Field-Tested),24.17,0
AK-47 | Jaguar (Minimal Wear),35.71,0
AK-47 | Jaguar (Well-Worn),19.31,0
AK-47 | Jet Set (Field-Tested),150.66,0
AK-47 | Jet Set (Minimal Wear),181.86,0
AK-47 | Jet Set (Well-Worn),123.27,0
AK-47 | Jungle Spray (Battle-Scarred),4.18,1
AK-47 | Jungle Spray (Factory New),100.92,0
AK-47 | Jungle Spray (Field-Tested),6.25,33
AK-47 | Jungle Spray (Minimal Wear),13.0,3
AK-47 | Jungle Spray (Well-Worn),5.69,0
AK-47 | Leet Museo (Battle-Scarred),14.35,0
AK-47 | Leet Museo (Factory New),41.4,3
AK-47 | Leet Museo (Field-Tested),18.32,6
AK-47 | Leet Museo (Minimal Wear),24.42,2
AK-47 | Leet Museo (Well-Worn),15.49,0
AK-47 | Legion of Anubis (Battle-Scarred),9.05,0
AK-47 | Legion of Anubis (Factory New),29.36,16
AK-47 | Legion of Anubis (Field-Tested),12.15,36
AK-47 | Legion of Anubis (Minimal Wear),16.75,0
AK-47 | Legion of Anubis (Well-Worn),11.73,0
AK-47 | Neon Revolution (Battle-Scarred),14.13,0
AK-47 | Neon Revolution (Factory New),51.23,2
AK-47 | Neon Revolution (Field-Tested),16.93,34
AK-47 | Neon Revolution (Minimal Wear),27.54,6
AK-47 | Neon Revolution (Well-Worn),20.25,6
AK-47 | Neon Rider (Battle-Scarred),22.69,0
AK-47 | Neon Rider (Factory New),131.53,4
AK-47 | Neon Rider (Field-Tested),38.01,17
AK-47 | Neon Rider (Minimal Wear),66.32,3
AK-47 | Neon Rider (Well-Worn),36.95,23
AK-47 | Nightwish (Battle-Scarred),17.18,0
AK-47 | Nightwish (Factory New),217.01,0
AK-47 | Nightwish (Field-Tested),61.71,0
AK-47 | Nightwish (Minimal Wear),114.34,0
AK-47 | Nightwish (Well-Worn),39.38,7
